stim	 + 	 1	0.051890	1551260014.807530
stim	 Type the English
translation,
then hit enter. 	 1	5.053200	1551260019.809082
stim	 + 	 2	9.053667	1551260023.810323
R_JJDK	 NYOKA 	 3	14.884437	1551260023.810323
stim	 NYOKA 	 3	14.904676	1551260029.662150
stim	 + 	 4	16.906018	1551260031.662769
R_AJAJ	 NYANYA 	 5	20.820508	1551260031.662769
stim	 NYANYA 	 5	20.823032	1551260035.580657
stim	 + 	 6	22.823896	1551260037.581276
R_ASSS	 WALI 	 7	27.777283	1551260037.581276
stim	 WALI 	 7	27.792034	1551260042.549488
stim	 + 	 8	29.793120	1551260044.550114
R_	 MBWA 	 9	30.916098	1551260044.550114
stim	 MBWA 	 9	30.926383	1551260045.683792
stim	 + 	 10	32.927504	1551260047.684420
R_	 GOTI 	 11	34.277405	1551260047.684420
stim	 GOTI 	 11	34.294088	1551260049.051509
stim	 + 	 12	36.295666	1551260051.052130
R_	 ELIMU 	 13	37.296208	1551260051.052130
stim	 ELIMU 	 13	37.313509	1551260052.069110
stim	 + 	 14	39.312919	1551260054.069733
R_	 ZEITUNI 	 15	40.126939	1551260054.069733
stim	 ZEITUNI 	 15	40.313169	1551260055.070047
stim	 + 	 16	42.313767	1551260057.070675
R_	 DAFINA 	 17	68.728488	1551260057.070675
stim	 DAFINA 	 17	68.738514	1551260083.495550
stim	 + 	 18	70.739241	1551260085.496176
R_	 MAJI 	 19	71.814637	1551260085.496176
stim	 MAJI 	 19	71.822360	1551260086.579851
stim	 + 	 20	73.822961	1551260088.580466
R_	 EMBE 	 21	79.858111	1551260088.580466
stim	 EMBE 	 21	79.875490	1551260094.632351
stim	 + 	 22	81.876446	1551260096.632973
R_	 HARIRI 	 23	115.327742	1551260096.632973
stim	 HARIRI 	 23	115.336011	1551260130.093379
stim	 + 	 24	117.337100	1551260132.094003
R_	 ADHAMA 	 25	122.047543	1551260132.094003
stim	 ADHAMA 	 25	122.055082	1551260136.812132
stim	 + 	 26	124.055999	1551260138.812754
R_	 PAZIA 	 27	174.927374	1551260138.812754
stim	 PAZIA 	 27	174.937869	1551260189.695243
stim	 + 	 28	176.938931	1551260191.695872
R_	 SURA 	 29	236.730706	1551260191.695872
stim	 SURA 	 29	236.740445	1551260251.497802
stim	 + 	 30	238.741549	1551260253.498420
R_	 POMBE 	 31	239.874627	1551260253.498420
stim	 POMBE 	 31	239.891512	1551260254.648781
stim	 + 	 32	241.892408	1551260256.649408
R_	 JESHI 	 33	245.287300	1551260256.649408
stim	 JESHI 	 33	245.293104	1551260260.050459
stim	 + 	 34	247.294311	1551260262.051080
R_	 MAITI 	 35	250.731235	1551260262.051080
stim	 MAITI 	 35	250.744983	1551260265.502153
stim	 + 	 36	252.745866	1551260267.502783
R_	 PIPA 	 37	255.177887	1551260267.502783
stim	 PIPA 	 37	255.196396	1551260269.953537
stim	 + 	 38	257.197304	1551260271.954161
R_	 MTO 	 39	259.570960	1551260271.954161
stim	 MTO 	 39	259.582096	1551260274.338241
stim	 + 	 40	261.582059	1551260276.338859
R_	 GARI 	 41	262.541256	1551260276.338859
stim	 GARI 	 41	262.581727	1551260277.339169
stim	 + 	 42	264.584511	1551260279.339797
R_	 NDOO 	 43	265.460064	1551260279.339797
stim	 NDOO 	 43	265.583282	1551260280.340101
stim	 + 	 44	267.583925	1551260282.340728
R_	 REMBO 	 45	269.163313	1551260282.340728
stim	 REMBO 	 45	269.167578	1551260283.924552
stim	 + 	 46	271.168263	1551260285.925175
R_	 SAMAKI 	 47	272.333379	1551260285.925175
stim	 SAMAKI 	 47	272.352636	1551260287.108877
stim	 + 	 48	274.352850	1551260289.109497
R_	 ZULIA 	 49	276.045608	1551260289.109497
stim	 ZULIA 	 49	276.052880	1551260290.810029
stim	 + 	 50	278.053677	1551260292.810652
R_	 THELUJI 	 51	281.519129	1551260292.810652
stim	 THELUJI 	 51	281.537932	1551260296.295065
stim	 + 	 52	283.538877	1551260298.295687
R_	 LESO 	 53	288.108568	1551260298.295687
stim	 LESO 	 53	288.123597	1551260302.880452
stim	 + 	 54	290.124169	1551260304.881067
R_	 KAA 	 55	290.887523	1551260304.881067
stim	 KAA 	 55	291.124870	1551260305.881384
stim	 + 	 56	293.125245	1551260307.882005
R_	 BUSTANI 	 57	295.453528	1551260307.882005
stim	 BUSTANI 	 57	295.459138	1551260310.216066
stim	 + 	 58	297.460055	1551260312.216684
R_	 FAGIO 	 59	300.082624	1551260312.216684
stim	 FAGIO 	 59	300.093624	1551260314.850839
stim	 + 	 60	302.094337	1551260316.851455
R_	 ADUI 	 61	303.405027	1551260316.851455
stim	 ADUI 	 61	303.411212	1551260318.168532
stim	 + 	 62	305.412484	1551260320.169153
R_	 MALKIA 	 63	309.983668	1551260320.169153
stim	 MALKIA 	 63	309.996673	1551260324.753915
stim	 + 	 64	311.997643	1551260326.754538
R_	 BUU 	 65	312.989165	1551260326.754538
stim	 BUU 	 65	312.998420	1551260327.754851
stim	 + 	 66	315.000000	1551260329.755474
R_	 TUMBILI 	 67	319.140339	1551260329.755474
stim	 TUMBILI 	 67	319.149646	1551260333.906768
stim	 + 	 68	321.150529	1551260335.907387
R_	 KAPUTULA 	 69	327.340138	1551260335.907387
stim	 KAPUTULA 	 69	327.352200	1551260342.109318
stim	 + 	 70	329.353003	1551260344.109937
R_	 VUKE 	 71	330.112609	1551260344.109937
stim	 VUKE 	 71	330.353303	1551260345.110250
stim	 + 	 72	332.353881	1551260347.110869
R_	 YAI 	 73	347.747445	1551260347.110869
stim	 YAI 	 73	347.758609	1551260362.515664
stim	 + 	 74	349.760990	1551260364.516285
R_	 ROHO 	 75	361.499950	1551260364.516285
stim	 ROHO 	 75	361.512951	1551260376.269943
stim	 + 	 76	363.513759	1551260378.270561
R_	 KOLEO 	 77	370.401358	1551260378.270561
stim	 KOLEO 	 77	370.415382	1551260385.172706
stim	 + 	 78	372.416998	1551260387.173332
R_	 FARASI 	 79	381.741800	1551260387.173332
stim	 FARASI 	 79	381.752190	1551260396.509562
stim	 + 	 80	383.753953	1551260398.510194
R_	 SUMU 	 81	389.236496	1551260398.510194
stim	 SUMU 	 81	389.254437	1551260404.011896
stim	 + 	 82	391.255647	1551260406.012524
R_	 GODORO 	 83	400.118530	1551260406.012524
stim	 GODORO 	 83	400.124419	1551260414.881944
stim	 + 	 84	402.125932	1551260416.882566
R_	 MLANGO 	 85	403.891324	1551260416.882566
stim	 MLANGO 	 85	403.909317	1551260418.666461
stim	 + 	 86	405.912115	1551260420.667084
R_	 ZIWA 	 87	408.852875	1551260420.667084
stim	 ZIWA 	 87	408.860502	1551260423.617996
stim	 + 	 88	410.862158	1551260425.618616
R_	 MAZIWA 	 89	411.583492	1551260425.618616
