stim	 + 	 1	0.050541	1551314381.998672
stim	 Type the English
translation,
then hit enter. 	 1	5.051905	1551314387.000135
stim	 + 	 2	9.053521	1551314391.001304
R_	 MAJI 	 3	15.508460	1551314391.001304
stim	 MAJI 	 3	15.521609	1551314397.469864
stim	 + 	 4	17.522579	1551314399.470450
R_	 ADHAMA 	 5	22.036018	1551314399.470450
stim	 ADHAMA 	 5	22.040174	1551314403.988439
stim	 + 	 6	24.041241	1551314405.989023
R_BUCKET	 NDOO 	 7	30.583135	1551314405.989023
stim	 NDOO 	 7	30.592042	1551314412.540939
stim	 + 	 8	32.593210	1551314414.541523
R_	 TUMBILI 	 9	34.999791	1551314414.541523
stim	 TUMBILI 	 9	35.010100	1551314416.958891
stim	 + 	 10	37.011129	1551314418.959479
R_	 BUSTANI 	 11	38.794092	1551314418.959479
stim	 BUSTANI 	 11	38.811219	1551314420.760001
stim	 + 	 12	40.812306	1551314422.760595
R_	 WALI 	 13	42.823839	1551314422.760595
stim	 WALI 	 13	42.829480	1551314424.777847
stim	 + 	 14	44.830266	1551314426.778434
R_	 PUNDA 	 15	48.330812	1551314426.778434
stim	 PUNDA 	 15	48.347357	1551314430.296130
stim	 + 	 16	50.348468	1551314432.296710
R_	 ROHO 	 17	55.426455	1551314432.296710
stim	 ROHO 	 17	55.432829	1551314437.381538
stim	 + 	 18	57.433924	1551314439.382125
R_	 HARIRI 	 19	60.832409	1551314439.382125
stim	 HARIRI 	 19	60.834381	1551314442.783118
stim	 + 	 20	62.835320	1551314444.783704
R_	 KOLEO 	 21	65.065065	1551314444.783704
stim	 KOLEO 	 21	65.069076	1551314447.017689
stim	 + 	 22	67.070001	1551314449.018270
R_MANGO	 EMBE 	 23	72.424812	1551314449.018270
stim	 EMBE 	 23	72.437678	1551314454.386516
stim	 + 	 24	74.438837	1551314456.387099
R_	 DAFINA 	 25	76.294685	1551314456.387099
stim	 DAFINA 	 25	76.305588	1551314458.254311
stim	 + 	 26	78.306079	1551314460.254898
R_	 GOTI 	 27	81.016022	1551314460.254898
stim	 GOTI 	 27	81.023882	1551314462.972360
stim	 + 	 28	83.024699	1551314464.972947
R_DRESS	 RINDA 	 29	86.295952	1551314464.972947
stim	 RINDA 	 29	86.308345	1551314468.257240
stim	 + 	 30	88.309484	1551314470.257828
R_	 ADUI 	 31	90.149207	1551314470.257828
stim	 ADUI 	 31	90.159566	1551314472.108368
stim	 + 	 32	92.160817	1551314474.108951
R_	 BUU 	 33	93.986001	1551314474.108951
stim	 BUU 	 33	93.994115	1551314475.942826
stim	 + 	 34	95.995261	1551314477.943405
R_	 MASHUA 	 35	98.894457	1551314477.943405
stim	 MASHUA 	 35	98.912133	1551314480.860933
stim	 + 	 36	100.913367	1551314482.861512
R_	 FAGIO 	 37	103.421110	1551314482.861512
stim	 FAGIO 	 37	103.430919	1551314485.378918
stim	 + 	 38	105.431278	1551314487.379509
R_MATRESS	 MLANGO 	 39	109.439608	1551314487.379509
stim	 MLANGO 	 39	109.448629	1551314491.397351
stim	 + 	 40	111.449715	1551314493.397934
R_	 PIPA 	 41	113.111468	1551314493.397934
stim	 PIPA 	 41	113.116413	1551314495.065092
stim	 + 	 42	115.117365	1551314497.065679
R_	 SALA 	 43	117.250815	1551314497.065679
stim	 SALA 	 43	117.267543	1551314499.216308
stim	 + 	 44	119.268513	1551314501.216888
R_PROBLEM	 SHAKA 	 45	123.960688	1551314501.216888
stim	 SHAKA 	 45	123.969384	1551314505.918271
stim	 + 	 46	125.970481	1551314507.918857
R_QUEEN	 MALKIA 	 47	129.654204	1551314507.918857
stim	 MALKIA 	 47	129.671069	1551314511.619940
stim	 + 	 48	131.672156	1551314513.620528
R_	 SAMAKI 	 49	133.445556	1551314513.620528
stim	 SAMAKI 	 49	133.455661	1551314515.404380
stim	 + 	 50	135.456776	1551314517.404970
R_	 GODORO 	 51	137.866865	1551314517.404970
stim	 GODORO 	 51	137.873664	1551314519.822345
stim	 + 	 52	139.874611	1551314521.822928
R_	 SURA 	 53	141.424292	1551314521.822928
stim	 SURA 	 53	141.441264	1551314523.390056
stim	 + 	 54	143.442378	1551314525.390647
R_	 TABIBU 	 55	145.065258	1551314525.390647
stim	 TABIBU 	 55	145.075650	1551314527.024457
stim	 + 	 56	147.076818	1551314529.025036
R_	 SUMU 	 57	149.263319	1551314529.025036
stim	 SUMU 	 57	149.277669	1551314531.225682
stim	 + 	 58	151.278017	1551314533.226269
R_	 MAITI 	 59	153.329480	1551314533.226269
stim	 MAITI 	 59	153.345200	1551314535.293543
stim	 + 	 60	155.345878	1551314537.294128
R_EGG	 YAI 	 61	157.804073	1551314537.294128
stim	 YAI 	 61	157.812605	1551314539.761522
stim	 + 	 62	159.813849	1551314541.762105
R_	 MBWA 	 63	162.533693	1551314541.762105
stim	 MBWA 	 63	162.547552	1551314544.496237
stim	 + 	 64	164.548466	1551314546.496831
R_WATER	 NJIA 	 65	171.826681	1551314546.496831
stim	 NJIA 	 65	171.833371	1551314553.782299
stim	 + 	 66	173.834475	1551314555.782885
R_	 LESO 	 67	175.543662	1551314555.782885
stim	 LESO 	 67	175.551322	1551314557.500056
stim	 + 	 68	177.552419	1551314559.500642
R_	 NYANYA 	 69	179.675981	1551314559.500642
stim	 NYANYA 	 69	179.685880	1551314561.634604
stim	 + 	 70	181.686940	1551314563.635191
R_	 UMBU 	 71	183.425279	1551314563.635191
stim	 UMBU 	 71	183.437140	1551314565.385704
stim	 + 	 72	185.438042	1551314567.386289
R_	 FUNUNU 	 73	187.981481	1551314567.386289
stim	 FUNUNU 	 73	187.988314	1551314569.937039
stim	 + 	 74	189.989316	1551314571.937621
R_	 MTO 	 75	193.115293	1551314571.937621
stim	 MTO 	 75	193.123138	1551314575.071877
stim	 + 	 76	195.124309	1551314577.072467
R_MOUNTAIN	 MLIMA 	 77	201.923651	1551314577.072467
stim	 MLIMA 	 77	201.925540	1551314583.874455
stim	 + 	 78	203.926619	1551314585.875041
R_	 CHAKULA 	 79	205.700213	1551314585.875041
stim	 CHAKULA 	 79	205.710216	1551314587.658904
stim	 + 	 80	207.711259	1551314589.659489
R_	 USINGIZI 	 81	210.070769	1551314589.659489
stim	 USINGIZI 	 81	210.078193	1551314592.026850
stim	 + 	 82	212.079182	1551314594.027438
R_	 JESHI 	 83	221.257164	1551314594.027438
stim	 JESHI 	 83	221.264670	1551314603.213468
stim	 + 	 84	223.265874	1551314605.214054
R_HORSE	 FARASI 	 85	228.559022	1551314605.214054
stim	 FARASI 	 85	228.566729	1551314610.515607
stim	 + 	 86	230.568057	1551314612.516196
R_	 ZIWA 	 87	232.345827	1551314612.516196
stim	 ZIWA 	 87	232.351287	1551314614.300055
stim	 + 	 88	234.351918	1551314616.300640
R_	 UPEPO 	 89	235.785392	1551314616.300640
stim	 UPEPO 	 89	235.802329	1551314617.751068
stim	 + 	 90	237.803497	1551314619.751656
R_	 MENDE 	 91	239.352481	1551314619.751656
stim	 MENDE 	 91	239.370038	1551314621.318783
stim	 + 	 92	241.371081	1551314623.319362
R_	 MAZIWA 	 93	243.226391	1551314623.319362
stim	 MAZIWA 	 93	243.237802	1551314625.186582
stim	 + 	 94	245.238835	1551314627.187165
R_	 KAA 	 95	247.080430	1551314627.187165
stim	 KAA 	 95	247.088992	1551314629.037714
stim	 + 	 96	249.089949	1551314631.038301
R_	 KABURI 	 97	251.103904	1551314631.038301
stim	 KABURI 	 97	251.106919	1551314633.055557
stim	 + 	 98	253.107838	1551314635.056148
R_	 VUKE 	 99	254.925504	1551314635.056148
stim	 VUKE 	 99	254.941239	1551314636.890019
stim	 + 	 100	256.942337	1551314638.890599
R_	 KOFIA 	 101	259.383872	1551314638.890599
stim	 KOFIA 	 101	259.392570	1551314641.341325
stim	 + 	 102	261.393578	1551314643.341913
R_	 THELUJI 	 103	263.089742	1551314643.341913
stim	 THELUJI 	 103	263.093660	1551314645.042414
stim	 + 	 104	265.094745	1551314647.042994
R_	 NYOKA 	 105	267.093776	1551314647.042994
stim	 NYOKA 	 105	267.111566	1551314649.060252
stim	 + 	 106	269.112509	1551314651.060848
R_	 REMBO 	 107	271.397530	1551314651.060848
stim	 REMBO 	 107	271.412795	1551314653.361521
stim	 + 	 108	273.413717	1551314655.362109
R_CAR	 GARI 	 109	276.143190	1551314655.362109
stim	 GARI 	 109	276.147345	1551314658.096242
stim	 + 	 110	278.148506	1551314660.096826
R_BEER	 POMBE 	 111	280.760390	1551314660.096826
stim	 POMBE 	 111	280.765353	1551314662.714265
stim	 + 	 112	282.766485	1551314664.714853
R_	 KAPUTULA 	 113	285.379280	1551314664.714853
stim	 KAPUTULA 	 113	285.383610	1551314667.332289
stim	 + 	 114	287.384660	1551314669.332875
R_	 ELIMU 	 115	288.962439	1551314669.332875
stim	 ELIMU 	 115	288.967978	1551314670.916679
stim	 + 	 116	290.969126	1551314672.917264
R_	 PAZIA 	 117	292.405425	1551314672.917264
stim	 PAZIA 	 117	292.418971	1551314674.367691
stim	 + 	 118	294.419526	1551314676.368273
R_	 ZEITUNI 	 119	295.639651	1551314676.368273
stim	 ZEITUNI 	 119	295.653601	1551314677.601977
stim	 + 	 120	297.654334	1551314679.602563
R_	 ZULIA 	 121	298.858013	1551314679.602563
stim	 ZULIA 	 121	298.870901	1551314680.819585
stim	 + 	 122	300.871815	1551314682.820169
stim	 + 	 123	301.872142	1551314683.820466
