stim	 + 	 1	0.050817	1554236370.634973
stim	 Type the English
translation,
then hit enter. 	 1	5.052213	1554236375.636867
stim	 + 	 2	9.053732	1554236379.638381
R_	 LESO 	 3	12.417677	1554236379.638381
stim	 LESO 	 3	12.421588	1554236383.006321
stim	 + 	 4	14.422573	1554236385.007078
R_	 MAITI 	 5	16.962464	1554236385.007078
stim	 MAITI 	 5	16.973608	1554236387.558044
stim	 + 	 6	18.974622	1554236389.558803
R_	 MAZIWA 	 7	21.702905	1554236389.558803
stim	 MAZIWA 	 7	21.708321	1554236392.293172
stim	 + 	 8	23.709715	1554236394.293930
R_	 JESHI 	 9	30.816235	1554236394.293930
stim	 JESHI 	 9	30.828649	1554236401.413281
stim	 + 	 10	32.829864	1554236403.414043
R_E	 ADUI 	 11	36.183004	1554236403.414043
stim	 ADUI 	 11	36.197323	1554236406.781977
stim	 + 	 12	38.198733	1554236408.782739
R_BLANKET	 SURA 	 13	43.206370	1554236408.782739
stim	 SURA 	 13	43.216193	1554236413.801302
stim	 + 	 14	45.217225	1554236415.802057
R_HAMMER	 FAGIO 	 15	49.104158	1554236415.802057
stim	 FAGIO 	 15	49.118392	1554236419.703526
stim	 + 	 16	51.119654	1554236421.704284
R_MAGGOT	 KAA 	 17	56.908341	1554236421.704284
stim	 KAA 	 17	56.921662	1554236427.506474
stim	 + 	 18	58.922617	1554236429.507231
R_TABLE	 FUNUNU 	 19	65.397031	1554236429.507231
stim	 FUNUNU 	 19	65.407850	1554236435.993013
stim	 + 	 20	67.408926	1554236437.993765
R_	 VUKE 	 21	73.366815	1554236437.993765
stim	 VUKE 	 21	73.377869	1554236443.962686
stim	 + 	 22	75.378739	1554236445.963443
R_	 DAFINA 	 23	82.527702	1554236445.963443
stim	 DAFINA 	 23	82.531790	1554236453.116142
stim	 + 	 24	84.532425	1554236455.116895
R_TABLE	 RINDA 	 25	89.651531	1554236455.116895
stim	 RINDA 	 25	89.667390	1554236460.252164
stim	 + 	 26	91.668245	1554236462.252920
R_	 THELUJI 	 27	98.015991	1554236462.252920
stim	 THELUJI 	 27	98.020887	1554236468.605317
stim	 + 	 28	100.021347	1554236470.606069
R_MOUNTAIN	 MLIMA 	 29	105.700355	1554236470.606069
stim	 MLIMA 	 29	105.706383	1554236476.291544
stim	 + 	 30	107.707765	1554236478.292300
R_	 ZULIA 	 31	112.907748	1554236478.292300
stim	 ZULIA 	 31	112.925850	1554236483.510926
stim	 + 	 32	114.926810	1554236485.511686
R_MELON	 PUNDA 	 33	118.527246	1554236485.511686
stim	 PUNDA 	 33	118.545352	1554236489.129711
stim	 + 	 34	120.546140	1554236491.130468
R_BROOM	 NJIA 	 35	126.691609	1554236491.130468
stim	 NJIA 	 35	126.697636	1554236497.282787
stim	 + 	 36	128.699239	1554236499.283537
R_	 KOLEO 	 37	130.813744	1554236499.283537
stim	 KOLEO 	 37	130.833181	1554236501.417675
stim	 + 	 38	132.834202	1554236503.418426
R_	 SUMU 	 39	140.726510	1554236503.418426
stim	 SUMU 	 39	140.736658	1554236511.321397
stim	 + 	 40	142.737557	1554236513.322151
R_	 ADHAMA 	 41	148.244977	1554236513.322151
stim	 ADHAMA 	 41	148.255855	1554236518.840898
stim	 + 	 42	150.257482	1554236520.841650
R_	 PIPA 	 43	156.733428	1554236520.841650
