stim	 + 	 1	0.050834	1554754537.439229
stim	 Type the English
translation,
then hit enter. 	 1	5.052337	1554754542.440795
stim	 + 	 2	9.053617	1554754546.442054
R_R	 REMBO 	 3	14.073098	1554754546.442054
stim	 REMBO 	 3	14.087887	1554754551.476973
stim	 + 	 4	16.089035	1554754553.477600
R_QQUEEN	 MALKIA 	 5	20.784486	1554754553.477600
stim	 MALKIA 	 5	20.789683	1554754558.179075
stim	 + 	 6	22.791284	1554754560.179700
R_	 VUKE 	 7	25.371437	1554754560.179700
stim	 VUKE 	 7	25.375167	1554754562.763849
stim	 + 	 8	27.375464	1554754564.764483
R_	 PAZIA 	 9	29.163361	1554754564.764483
stim	 PAZIA 	 9	29.176257	1554754566.565045
stim	 + 	 10	31.177250	1554754568.565675
R_COOL NAME	 THELUJI 	 11	35.817328	1554754568.565675
stim	 THELUJI 	 11	35.827833	1554754573.217141
stim	 + 	 12	37.829378	1554754575.217773
R_SEED	 PIPA 	 13	42.943083	1554754575.217773
stim	 PIPA 	 13	42.946616	1554754580.336066
stim	 + 	 14	44.947736	1554754582.336694
R_	 EMBE 	 15	47.850793	1554754582.336694
stim	 EMBE 	 15	47.865160	1554754585.254268
stim	 + 	 16	49.866551	1554754587.254902
R_WWRESTLER	 SUMU 	 17	55.001434	1554754587.254902
stim	 SUMU 	 17	55.017537	1554754592.406528
stim	 + 	 18	57.018732	1554754594.407164
R_DOG	 MBWA 	 19	61.265785	1554754594.407164
stim	 MBWA 	 19	61.269040	1554754598.658505
stim	 + 	 20	63.270995	1554754600.659137
R_	 KAPUTULA 	 21	68.464235	1554754600.659137
stim	 KAPUTULA 	 21	68.471898	1554754605.860787
stim	 + 	 22	70.472997	1554754607.861415
R_CAR	 GARI 	 23	77.746071	1554754607.861415
stim	 GARI 	 23	77.758270	1554754615.147053
stim	 + 	 24	79.759369	1554754617.147687
R_	 YAI 	 25	83.005976	1554754617.147687
stim	 YAI 	 25	83.009768	1554754620.398719
stim	 + 	 26	85.010777	1554754622.399356
R_	 KOFIA 	 27	88.644453	1554754622.399356
stim	 KOFIA 	 27	88.661692	1554754626.050516
stim	 + 	 28	90.662731	1554754628.051149
R_	 KAA 	 29	94.023838	1554754628.051149
stim	 KAA 	 29	94.030100	1554754631.418885
stim	 + 	 30	96.031161	1554754633.419518
R_	 ELIMU 	 31	98.792129	1554754633.419518
stim	 ELIMU 	 31	98.798165	1554754636.187065
stim	 + 	 32	100.799125	1554754638.187706
R_	 TABIBU 	 33	103.916621	1554754638.187706
stim	 TABIBU 	 33	103.933333	1554754641.322036
stim	 + 	 34	105.933837	1554754643.322670
R_	 MTO 	 35	108.158671	1554754643.322670
